year,category,laureates,shared_count
1958,Physics,"['Pavel Alekseyevich Cherenkov', 'Il´ja Mikhailovich Frank', 'Igor Yevgenyevich Tamm']",3
1958,Physiology or Medicine,"['George Wells Beadle', 'Edward Lawrie Tatum', 'Joshua Lederberg']",3
1959,Chemistry,['Jaroslav Heyrovsky'],1
1959,Literature,['Salvatore Quasimodo'],1
1959,Peace,['Philip J. Noel-Baker'],1
1959,Physics,"['Emilio Gino Segrè', 'Owen Chamberlain']",2
1959,Physiology or Medicine,"['Severo Ochoa', 'Arthur Kornberg']",2
1960,Chemistry,['Willard Frank Libby'],1
1960,Literature,['Saint-John Perse'],1
1960,Peace,['Albert John Lutuli'],1
1960,Physics,['Donald Arthur Glaser'],1
1960,Physiology or Medicine,"['Sir Frank Macfarlane Burnet', 'Peter Brian Medawar']",2
1961,Chemistry,['Melvin Calvin'],1
1961,Literature,['Ivo Andrić'],1
1961,Peace,['Dag Hjalmar Agne Carl Hammarskjöld'],1
1961,Physics,"['Robert Hofstadter', 'Rudolf Ludwig Mössbauer']",2
1961,Physiology or Medicine,['Georg von Békésy'],1
1962,Chemistry,"['Max Ferdinand Perutz', 'John Cowdery Kendrew']",2
1962,Literature,['John Steinbeck'],1
1962,Peace,['Linus Carl Pauling'],1
1962,Physics,['Lev Davidovich Landau'],1
1962,Physiology or Medicine,"['Francis Harry Compton Crick', 'James Dewey Watson', 'Maurice Hugh Frederick Wilkins']",3
1963,Chemistry,"['Karl Ziegler', 'Giulio Natta']",2
1963,Literature,['Giorgos Seferis'],1
1963,Peace,"['International Committee of the Red Cross', 'League of Red Cross Societies']",2
1963,Physics,"['Eugene Paul Wigner', 'Maria Goeppert Mayer', 'J. Hans D. Jensen']",3
1963,Physiology or Medicine,"['Sir John Carew Eccles', 'Alan Lloyd Hodgkin', 'Andrew Fielding Huxley']",3
1964,Chemistry,['Dorothy Crowfoot Hodgkin'],1
1964,Literature,['Jean-Paul Sartre'],1
1964,Peace,['Martin Luther King Jr.'],1
1964,Physics,"['Charles Hard Townes', 'Nicolay Gennadiyevich Basov', 'Aleksandr Mikhailovich Prokhorov']",3
1964,Physiology or Medicine,"['Konrad Bloch', 'Feodor Lynen']",2
1965,Chemistry,['Robert Burns Woodward'],1
1965,Literature,['Mikhail Aleksandrovich Sholokhov'],1
1965,Peace,"[""United Nations Children's Fund""]",1
1965,Physics,"['Sin-Itiro Tomonaga', 'Julian Schwinger', 'Richard P. Feynman']",3
1965,Physiology or Medicine,"['François Jacob', 'André Lwoff', 'Jacques Monod']",3
1966,Chemistry,['Robert S. Mulliken'],1
1966,Literature,"['Shmuel Yosef Agnon', 'Nelly Sachs']",2
1966,Peace,,0
1966,Physics,['Alfred Kastler'],1
1966,Physiology or Medicine,"['Peyton Rous', 'Charles Brenton Huggins']",2
1967,Chemistry,"['Manfred Eigen', 'Ronald George Wreyford Norrish', 'George Porter']",3
1967,Literature,['Miguel Angel Asturias'],1
1967,Peace,,0
1967,Physics,['Hans Albrecht Bethe'],1
1967,Physiology or Medicine,"['Ragnar Granit', 'Haldan Keffer Hartline', 'George Wald']",3
